"key"	"name_de"	"name_en"
"C02LG"	"Hydrazinophthalazin-Derivate und Diuretika"	"Hydrazinophthalazine derivatives and diuretics"
"C02LK"	"Alkaloide, exkl. Rauwolfia, in Kombination mit Diuretika"	"Alkaloids, excluding rauwolfia, in combination with diuretics"
"C02LL"	"MAO-Hemmer und Diuretika"	"MAO inhibitors and diuretics"
"C02LN"	"Serotonin-Antagonisten und Diuretika"	"Serotonin antagonists and diuretics"
"C02LX"	"Andere Antihypertensiva und Diuretika"	"Other antihypertensives and diuretics"
"C02N"	"KOMBINATIONEN VON ANTIHYPERTENSIVEN WIRKSTOFFEN AUS ATC-GRUPPE C02"	"Combinations of antihypertensives in ATC-group C02"
"C03"	"DIURETIKA"	"Diuretic drugs"
"C03A"	"LOW-CEILING-DIURETIKA, THIAZIDE"	"Low-ceiling diuretics, thiazides"
"C03AA"	"Thiazide, rein"	"Thiazides, plain"
"C03AB"	"Thiazide und Kalium in Kombination"	"Thiazides and potassium in combination"
"C03AH"	"Thiazide, Kombinationen mit Psycholeptika und/oder Analgetika"	"Thiazides, combinations with psycholeptics and/or analgesics"
"C03AX"	"Thiazide, Kombinationen mit anderen Mitteln"	"Thiazides, combinations with other drugs"
"C03B"	"LOW-CEILING-DIURETIKA, EXKL. THIAZIDE"	"Low-ceiling diuretics, excluding thiazides"
"C03BA"	"Sulfonamide, rein"	"Sulfonamides, plain"
"C03BB"	"Sulfonamide und Kalium in Kombination"	"Sulfonamides and potassium in combination"
"C03BC"	"Quecksilber-haltige Diuretika"	"Mercurial diuretics"
"C03BD"	"Xanthin-Derivate"	"Xanthine derivatives"
"C03BK"	"Sulfonamide, Kombinationen mit anderen Mitteln"	"Sulfonamides, combinations with other drugs"
"C03BX"	"Andere Low-ceiling-Diuretika"	"Other low-ceiling diuretics"
"C03C"	"HIGH-CEILING-DIURETIKA"	"High-ceiling diuretics"
"C03CA"	"Sulfonamide, rein"	"Sulfonamides, plain"
"C03CB"	"Sulfonamide und Kalium in Kombination"	"Sulfonamides and potassium in combination"
"C03CC"	"Aryloxyessigsäure-Derivate"	"Aryloxyacetic acid derivatives"
"C03CD"	"Pyrazolon-Derivate"	"Pyrazolone derivatives"
"C03CX"	"Andere High-ceiling-Diuretika"	"Other high-ceiling diuretics"
"C03D"	"KALIUM SPARENDE MITTEL"	"Potassium-sparing agents"
"C03DA"	"Aldosteron-Antagonisten"	"Aldosterone antagonists"
"C03DB"	"Andere Kalium sparende Mittel"	"Other potassium-sparing agents"
"C03E"	"DIURETIKA UND KALIUM SPARENDE MITTEL IN KOMBINATION"	"Diuretics and potassium-sparing agents in combination"
"C03EA"	"Low-ceiling-Diuretika und Kalium sparende Mittel"	"Low-ceiling diuretics and potassium-sparing agents"
"C03EB"	"High-ceiling-Diuretika und Kalium sparende Diuretika"	"High-ceiling diuretics and potassium-sparing agents"
"C03EC"	"Aldosteron-Antagonisten und Low-ceiling-Diuretika"	NA
"C03ED"	"Aldosteron-Antagonisten und High-ceiling-Diuretika"	NA
"C03X"	"ANDERE DIURETIKA"	"Other diuretics"
"C03XA"	"Vasopressin-Antagonisten"	"Vasopressin antagonists"
"C03XH"	"Andere homöopathische und anthroposophische Diuretika"	NA
"C03XP"	"Pflanzliche Diuretika"	NA
"C04"	"PERIPHERE VASODILATATOREN"	"Peripheral vasodilators"
"C04A"	"PERIPHERE VASODILATATOREN"	"Peripheral vasodilators"
"C04AA"	"2-Amino-1-phenylethanol-Derivate"	"2-amino-1-phenylethanol derivatives"
"C04AB"	"Imidazolin-Derivate"	"Imidazoline derivatives"
"C04AC"	"Nicotinsäure und Derivate"	"Nicotinic acid and derivatives"
"C04AD"	"Purin-Derivate"	"Purine derivatives"
"C04AE"	"Mutterkorn-Alkaloide"	"Ergot alkaloids"
"C04AF"	"Enzyme"	"Enzymes"
"C04AG"	"Prostaglandine"	NA
"C04AH"	"Homöopathische und anthroposophische Vasodilatatoren"	NA
"C04AX"	"Andere periphere Vasodilatatoren"	"Other peripheral vasodilators"
"C04B"	"KOMBINATIONEN VON ANDEREN PERIPHEREN VASODILATATOREN"	NA
"C04BA"	"Kombinationen von anderen peripheren Vasodilatatoren"	NA
"C05"	"VASOPROTEKTOREN"	"Vasoprotective drugs"
"C05A"	"MITTEL ZUR BEHANDLUNG VON HÄMORRHOIDEN UND ANALFISSUREN ZUR TOPISCHEN ANWENDUNG"	"Agents for treatment of hemorrhoids and anal fissures for topical use"
"C05AA"	"Corticosteroide"	"Corticosteroids"
"C05AB"	"Antibiotika"	"Antibiotics"
"C05AD"	"Lokalanästhetika"	"Local anesthetics"
"C05AE"	"Muskelrelaxanzien"	"Muscle relaxants"
"C05AF"	"Verödungsmittel"	NA
"C05AH"	"Homöopathische und anthroposophische Hämorrhoidenmittel zur topischen Anwendung"	NA
"C05AP"	"Pflanzliche Hämorrhoidenmittel zur topischen Anwendung"	NA
"C05AX"	"Andere Mittel zur Behandlung von Hämorrhoiden und Analfissuren zur topischen Anwendung"	"Other agents for treatment of hemorrhoids and anal fissures for topical use"
"C05B"	"ANTIVARIKOSA"	"Antivaricose therapy"
"C05BA"	"Heparine oder Heparinoide zur topischen Anwendung"	"Heparins or heparinoids for topical use"
"C05BB"	"Sklerosierende Mittel zur lokalen Injektion"	"Sclerosing agents for local injection"
"C05BP"	"Pflanzliche Venenmittel zur topischen Anwendung"	NA
"C05BX"	"Andere sklerosierende Mittel"	"Other sclerosing agents"
"C05BZ"	"Andere Venenmittel zur topischen Anwendung"	NA
"C05C"	"KAPILLARSTABILISIERENDE MITTEL"	"Capillary stabilising agents"
"C05CA"	"Bioflavonoide"	"Bioflavonoids"
"C05CH"	"Homöopathische und anthroposophische kapillarstabilisierende Mittel"	NA
"C05CP"	"Pflanzliche kapillarstabilisierende Mittel"	NA
"C05CX"	"Andere kapillarstabilisierende Mittel"	"Other capillary stabilising agents"
"C06"	"ANDERE HERZ- UND KREISLAUFMITTEL"	NA
"C06A"	"ANTIHYPOTONIKA"	NA
"C06AA"	"Ergotamin-Derivate"	NA
"C06AH"	"Homöopathische und anthroposophische Antihypotonika"	NA
"C07"	"BETA-ADRENOZEPTOR-ANTAGONISTEN"	"Beta blocking agents"
"C07A"	"BETA-ADRENOZEPTOR-ANTAGONISTEN"	"Beta blocking agents"
"C07AA"	"Beta-Adrenozeptor-Antagonisten, nichtselektiv"	"Beta blocking agents, non-selective"
"C07AB"	"Beta-Adrenozeptor-Antagonisten, selektiv"	"Beta blocking agents, selective"
"C07AG"	"Alpha- und Beta-Adrenozeptor-Antagonisten"	"Alpha and beta blocking agents"
"C07B"	"BETA-ADRENOZEPTOR-ANTAGONISTEN UND THIAZIDE"	"Beta blocking agents and thiazides"
"C07BA"	"Beta-Adrenozeptor-Antagonisten, nichtselektiv, und Thiazide"	"Beta blocking agents, non-selective, and thiazides"
"C07BB"	"Beta-Adrenozeptor-Antagonisten, selektiv, und Thiazide"	"Beta blocking agents, selective, and thiazides"
"C07BG"	"Alpha- und Beta-Adrenozeptor-Antagonisten und Thiazide"	"Alpha and beta blocking agents and thiazides"
"C07C"	"BETA-ADRENOZEPTOR-ANTAGONISTEN UND ANDERE DIURETIKA"	"Beta blocking agents and other diuretics"
"C07CA"	"Beta-Adrenozeptor-Antagonisten, nichtselektiv, und andere Diuretika"	"Beta blocking agents, non-selective, and other diuretics"
"C07CB"	"Beta-Adrenozeptor-Antagonisten, selektiv, und andere Diuretika"	"Beta blocking agents, selective, and other diuretics"
"C07CG"	"Alpha- und Beta-Adrenozeptor-Antagonisten und andere Diuretika"	"Alpha and beta blocking agents and other diuretics"
"C07D"	"BETA-ADRENOZEPTOR-ANTAGONISTEN, THIAZIDE UND ANDERE DIURETIKA"	"Beta blocking agents, thiazides and other diuretics"
"C07DA"	"Beta-Adrenozeptor-Antagonisten, nichtselektiv, Thiazide und andere Diuretika"	"Beta blocking agents, non-selective, thiazides and other diuretics"
"C07DB"	"Beta-Adrenozeptor-Antagonisten, selektiv, Thiazide und andere Diuretika"	"Beta blocking agents, selective, thiazides and other diuretics"
"C07E"	"BETA-ADRENOZEPTOR-ANTAGONISTEN UND VASODILATATOREN"	"Beta blocking agents and vasodilators"
"C07EA"	"Beta-Adrenozeptor-Antagonisten, nichtselektiv, und Vasodilatatoren"	"Beta blocking agents, non-selective, and vasodilators"
"C07EB"	"Beta-Adrenozeptor-Antagonisten, selektiv, und Vasodilatatoren"	"Beta blocking agents, selective, and vasodilators"
"C07F"	"BETA-ADRENOZEPTOR-ANTAGONISTEN UND ANDERE ANTIHYPERTENSIVA"	"Beta blocking agents and other antihypertensives"
"C07FA"	"Beta-Adrenozeptor-Antagonisten, nichtselektiv, und andere Antihypertensiva"	"Beta blocking agents, non-selective, and other antihypertensives"
"C07FB"	"Beta-Adrenozeptor-Antagonisten, selektiv, und andere Antihypertensiva"	"Beta blocking agents, selective, and other antihypertensives"
"C07G"	"BETA-ADRENOZEPTOR-ANTAGONISTEN UND ANDERE MITTEL"	NA
"C07GA"	"Beta-Adrenozeptor-Antagonisten, nicht selektiv, und andere Mittel"	NA
"C08"	"CALCIUMKANALBLOCKER"	"Calcium channel blockers"
"C08C"	"SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG"	"Selective calcium channel blockers with mainly vascular effects"
"C08CA"	"Dihydropyridin-Derivate"	"Dihydropyridine derivatives"
"C08CX"	"Andere selektive Calciumkanalblocker mit vorwiegender Gefäßwirkung"	"Other selective calcium channel blockers with mainly vascular effects"
"C08D"	"SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER HERZWIRKUNG"	"Selective calcium channel blockers with direct cardiac effects"
"C08DA"	"Phenylalkylamin-Derivate"	"Phenylalkylamine derivatives"
"C08DB"	"Benzothiazepin-Derivate"	"Benzothiazepine derivatives"
"C08E"	"NICHTSELEKTIVE CALCIUMKANALBLOCKER"	"Non-selective calcium channel blockers"
"C08EA"	"Phenylalkylamin-Derivate"	"Phenylalkylamine derivatives"
"C08EX"	"Andere nichtselektive Calciumkanalblocker"	"Other non-selective calcium channel blockers"
"C08G"	"CALCIUMKANALBLOCKER UND DIURETIKA"	"Calcium channel blockers and diuretics"
"C08GA"	"Calciumkanalblocker und Diuretika"	"Calcium channel blockers and diuretics"
"C09"	"MITTEL MIT WIRKUNG AUF DAS RENIN-ANGIOTENSIN-SYSTEM"	"Agents acting on the renin-angiotensin system"
"C09A"	"ACE-HEMMER, REIN"	NA
"C09AA"	"ACE-Hemmer, rein"	"ACE inhibitors, plain"
"C09B"	"ACE-HEMMER, KOMBINATIONEN"	"ACE inhibitors, combinations"
"C09BA"	"ACE-Hemmer und Diuretika"	"ACE inhibitors and diuretics"
"C09BB"	"ACE-Hemmer und Calciumkanalblocker"	"ACE inhibitors and calcium channel blockers"
"C09BX"	"ACE-Hemmer, andere Kombinationen"	"ACE inhibitors, other combinations"
"C09C"	"ANGIOTENSIN-II-ANTAGONISTEN, REIN"	NA
"C09CA"	"Angiotensin-II-Antagonisten, rein"	"Angiotensin II antagonists, plain"
"C09D"	"ANGIOTENSIN-II-ANTAGONISTEN, KOMBINATIONEN"	"Angiotensin II antagonists, combinations"
"C09DA"	"Angiotensin-II-Antagonisten und Diuretika"	"Angiotensin II antagonists and diuretics"
"C09DB"	"Angiotensin-II-Antagonisten und Calciumkanalblocker"	"Angiotensin II antagonists and calcium channel blockers"
"C09DX"	"Angiotensin-II-Antagonisten, andere Kombinationen"	"Angiotensin II antagonists, other combinations"
"C09X"	"ANDERE MITTEL MIT WIRKUNG AUF DAS RENIN-ANGIOTENSIN-SYSTEM"	"Other agents acting on the renin-angiotensin system"
"C09XA"	"Renin-Inhibitoren"	"Renin-inhibitors"
"C10"	"MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN"	"Lipid modifying agents"
"C10A"	"MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN"	"Lipid modifying agents, plain"
"C10AA"	"HMG-CoA-Reduktasehemmer"	"HMG CoA reductase inhibitors"
"C10AB"	"Fibrate"	"Fibrates"
"C10AC"	"Gallensäure bindende Mittel"	"Bile acid sequestrants"
"C10AD"	"Nicotinsäure und Derivate"	"Nicotinic acid and derivatives"
"C10AP"	"Pflanzliche Mittel, die den Lipidstoffwechsel beeinflussen"	NA
"C10AX"	"Andere Mittel, die den Lipidstoffwechsel beeinflussen"	"Other lipid modifying agents"
"C10B"	"MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, KOMBINATIONEN"	"Lipid modifying agents, combinations"
"C10BA"	"HMG-CoA-Reduktasehemmer in Kombination mit anderen Mitteln, die den Lipidstoffwechsel beeinflussen"	"HMG CoA reductase inhibitors in combination with other lipid modifying agents"
"C10BB"	"Fibrate in Kombination mit anderen Mitteln, die den Lipidstoffwechsel beeinflussen"	NA
"C10BE"	"Kombinationen von anderen Mitteln, die den Lipidstoffwechsel beeinflussen"	NA
"C10BP"	"Pflanzliche Mittel, die den Lipidstoffwechsel beeinflussen, Kombinationen"	NA
"C10BX"	"HMG-CoA-Reduktasehemmer, andere Kombinationen"	"HMG CoA reductase inhibitors, other combinations"
"D"	"DERMATIKA"	"Dermatological drugs"
"D01"	"ANTIMYKOTIKA ZUR DERMATOLOGISCHEN ANWENDUNG"	"Antifungals for dermatological use"
"D01A"	"ANTIMYKOTIKA ZUR TOPISCHEN ANWENDUNG"	"Antifungals for topical use"
"D01AA"	"Antibiotika"	"Antibiotics"
"D01AC"	"Imidazol- und Triazol-Derivate"	"Imidazole and triazole derivatives"
"D01AE"	"Andere Antimykotika zur topischen Anwendung"	"Other antifungals for topical use"
"D01B"	"ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG"	"Antifungals for systemic use"
"D01BA"	"Antimykotika zur systemischen Anwendung"	"Antifungals for systemic use"
"D02"	"EMOLLIENTIA UND HAUTSCHUTZMITTEL"	"Emollients and protectants"
"D02A"	"EMOLLIENTIA UND HAUTSCHUTZMITTEL"	"Emollients and protectives"
"D02AA"	"Silikon-haltige Mittel"	"Silicone products"
"D02AB"	"Zink-haltige Mittel"	"Zinc products"
"D02AC"	"Vaseline und Fett-haltige Mittel"	"Soft paraffin and fat products"
"D02AD"	"Flüssige Pflaster"	"Liquid plasters"
"D02AE"	"Harnstoff-haltige Mittel"	"Carbamide products"
"D02AF"	"Salicylsäure-haltige Zubereitungen"	"Salicylic acid preparations"
"D02AP"	"Pflanzliche Emollientia und Hautschutzmittel"	NA
"D02AX"	"Andere Emollientia und Hautschutzmittel"	NA
"D02B"	"PROTEKTIVA GEGEN UV-STRAHLUNG"	"Protectives against UV-radiation"
"D02BA"	"Protektiva gegen UV-Strahlung zur topischen Anwendung"	"Protectives against UV-radiation for topical use"
"D02BB"	"Protektiva gegen UV-Strahlung zur systemischen Anwendung"	"Protectives against UV-radiation for systemic use"
"D03"	"ZUBEREITUNGEN ZUR BEHANDLUNG VON WUNDEN UND GESCHWÜREN"	"Treatment of wounds and ulcers"
"D03A"	"WUNDBEHANDLUNGSMITTEL"	"Cicatrizants"
"D03AA"	"Lebertransalben"	"Cod-liver oil ointments"
"D03AC"	"Narbenbehandlungsmittel"	NA
"D03AH"	"Homöopathische und anthroposophische Wundbehandlungsmittel"	NA
"D03AP"	"Pflanzliche Wundbehandlungsmittel"	NA
"D03AX"	"Andere Wundbehandlungsmittel"	"Other cicatrizants"
"D03B"	"ENZYME"	"Enzymes"
"D03BA"	"Proteolytische Enzyme"	"Proteolytic enzymes"
"D04"	"ANTIPRURIGINOSA, INKL. ANTIHISTAMINIKA, ANÄSTHETIKA ETC."	"Antipyretics drugs"
"D04A"	"ANTIPRURIGINOSA, INKL.  ANTIHISTAMINIKA, ANÄSTHETIKA ETC."	"Antipruritics, including antihistamines, anesthetics, etc."
"D04AA"	"Antihistaminika zur topischen Anwendung"	"Topical antihistamines"
"D04AB"	"Lokalanästhetika"	"Topical anesthetics"
"D04AH"	"Homöopathische und anthroposophische Antipruriginosa"	NA
"D04AX"	"Andere Antipruriginosa"	NA
"D05"	"ANTIPSORIATIKA"	"Antipsoriatic drugs"
"D05A"	"ANTIPSORIATIKA ZUR TOPISCHEN ANWENDUNG"	"Antipsoriatics for topical use"
"D05AA"	"Teere"	"Tars"
"D05AC"	"Anthracen-Derivate"	"Antracen derivatives"
"D05AD"	"Psoralene zur topischen Anwendung"	"Psoralens for topical use"
"D05AX"	"Andere Antipsoriatika zur topischen Anwendung"	"Other antipsoriatics for topical use"
"D05B"	"ANTIPSORIATIKA ZUR SYSTEMISCHEN ANWENDUNG"	"Antipsoriatics for systemic use"
"D05BA"	"Psoralene zur systemischen Anwendung"	"Psoralens for systemic use"
"D05BB"	"Retinoide zur Behandlung der Psoriasis"	"Retinoids for treatment of psoriasis"
"D05BH"	"Homöopathische und anthroposophische Antipsoriatika zur systemischen Anwendung"	NA
"D05BX"	"Andere Antipsoriatika zur systemischen Anwendung"	"Other antipsoriatics for systemic use"
"D06"	"ANTIBIOTIKA UND CHEMOTHERAPEUTIKA ZUR DERMATOLOGISCHEN ANWENDUNG"	"Antibiotics and chemotherapeutics for dermatological use"
"D06A"	"ANTIBIOTIKA ZUR TOPISCHEN ANWENDUNG"	"Antibiotics for topical use"
"D06AA"	"Tetracyclin und Derivate"	"Tetracycline and derivatives"
"D06AX"	"Andere Antibiotika zur topischen Anwendung"	"Other antibiotics for topical use"
"D06B"	"CHEMOTHERAPEUTIKA ZUR TOPISCHEN ANWENDUNG"	"Chemotherapeutics for topical use"
"D06BA"	"Sulfonamide"	"Sulfonamides"
"D06BB"	"Antivirale Mittel"	"Antivirals"
"D06BP"	"Pflanzliche Chemotherapeutika inkl. antivirale Mittel zur topischen Anwendung"	NA
"D06BX"	"Andere Chemotherapeutika"	"Other chemotherapeutics"
"D06C"	"ANTIBIOTIKA UND CHEMOTHERAPEUTIKA, KOMBINATIONEN"	NA
"D07"	"CORTICOSTEROIDE, DERMATOLOGISCHE ZUBEREITUNGEN"	"Topical dermatological corticosteroids"
"D07A"	"CORTICOSTEROIDE, REIN"	"Corticosteroids, plain"
"D07AA"	"Corticosteroide, schwach wirksam (Gruppe I)"	"Corticosteroids, weak (group I)"
"D07AB"	"Corticosteroide, mittelstark wirksam (Gruppe II)"	"Corticosteroids, moderately potent (group II)"
"D07AC"	"Corticosteroide, stark wirksam (Gruppe III)"	"Corticosteroids, potent (group III)"
"D07AD"	"Corticosteroide, sehr stark wirksam (Gruppe IV)"	"Corticosteroids, very potent (group IV)"
"D07B"	"CORTICOSTEROIDE, KOMBINATIONEN MIT ANTISEPTIKA"	"Corticosteroids, combinations with antiseptics"
"D07BA"	"Corticosteroide, schwach wirksam, Kombinationen mit Antiseptika"	"Corticosteroids, weak, combinations with antiseptics"
"D07BB"	"Corticosteroide, mittelstark wirksam, Kombinationen mit Antiseptika"	"Corticosteroids, moderately potent, combinations with antiseptics"
"D07BC"	"Corticosteroide, stark wirksam, Kombinationen mit Antiseptika"	"Corticosteroids, potent, combinations with antiseptics"
"D07BD"	"Corticosteroide, sehr stark wirksam, Kombinationen mit Antiseptika"	"Corticosteroids, very potent, combinations with antiseptics"
"D07C"	"CORTICOSTEROIDE, KOMBINATIONEN MIT ANTIBIOTIKA"	"Corticosteroids, combinations with antibiotics"
"D07CA"	"Corticosteroide, schwach wirksam, Kombinationen mit Antibiotika"	"Corticosteroids, weak, combinations with antibiotics"
"D07CB"	"Corticosteroide, mittelstark wirksam, Kombinationen mit Antibiotika"	"Corticosteroids, moderately potent, combinations with antibiotics"
"D07CC"	"Corticosteroide, stark wirksam, Kombinationen mit Antibiotika"	"Corticosteroids, potent, combinations with antibiotics"
"D07CD"	"Corticosteroide, sehr stark wirksam, Kombinationen mit Antibiotika"	"Corticosteroids, very potent, combinations with antibiotics"
"D07X"	"CORTICOSTEROIDE, ANDERE KOMBINATIONEN"	"Corticosteroids, other combinations"
"D07XA"	"Corticosteroide, schwach wirksam, andere Kombinationen"	"Corticosteroids, weak, other combinations"
"D07XB"	"Corticosteroide, mittelstark wirksam, andere Kombinationen"	"Corticosteroids, moderately potent, other combinations"
"D07XC"	"Corticosteroide, stark wirksam, andere Kombinationen"	"Corticosteroids, potent, other combinations"
"D07XD"	"Corticosteroide, sehr stark wirksam, andere Kombinationen"	"Corticosteroids, very potent, other combinations"
"D08"	"ANTISEPTIKA UND DESINFEKTIONSMITTEL"	"Antiseptics and disinfectants drugs"
"D08A"	"ANTISEPTIKA UND DESINFEKTIONSMITTEL"	"Antiseptics and disinfectants"
"D08AA"	"Acridin-Derivate"	"Acridine derivatives"
"D08AB"	"Aluminium-haltige Mittel"	"Aluminium agents"
"D08AC"	"Biguanide und Amidine"	"Biguanides and amidines"
"D08AD"	"Borsäure-haltige Mittel"	"Boric acid products"
"D08AE"	"Phenol und Derivate"	"Phenol and derivatives"
"D08AF"	"Nitrofuran-Derivate"	"Nitrofuran derivatives"
"D08AG"	"Iod-haltige Mittel"	"Iodine products"
"D08AH"	"Chinolin-Derivate"	"Quinoline derivatives"
"D08AJ"	"Quartäre Ammonium-Verbindungen"	"Quaternary ammonium compounds"
"D08AK"	"Quecksilber-haltige Mittel"	"Mercurial products"
"D08AL"	"Silber-haltige Verbindungen"	"Silver compounds"
"D08AX"	"Andere Antiseptika und Desinfektionsmittel"	"Other antiseptics and disinfectants"
"D09"	"MEDIZINISCHE VERBÄNDE"	"Medicated dressings"
"D09A"	"MEDIZINISCHE VERBÄNDE"	"Medicated dressings"
"D09AA"	"Medizinische Verbände mit Antiinfektiva"	"Medicated dressings with antiinfectives"
"D09AB"	"Zink-haltige Verbände"	"Zinc bandages"
"D09AC"	"Andere Verbandmittel"	NA
"D09AX"	"Vaselin-haltige Verbände"	"Soft paraffin dressings"
"D10"	"AKNEMITTEL"	"Acne drugs"
"D10A"	"AKNEMITTEL ZUR TOPISCHEN ANWENDUNG"	"Topical acne drugs"
"D10AA"	"Corticosteroide, Kombinationen zur Behandlung der Akne"	"Corticosteroids, combinations for treatment of acne"
"D10AB"	"Schwefel-haltige Mittel"	"Preparations containing sulfur"
"D10AD"	"Retinoide zur topischen Anwendung bei Akne"	"Retinoids for topical use in acne"
"D10AE"	"Peroxide"	"Peroxides"
"D10AF"	"Antiinfektiva zur Behandlung der Akne"	"Anti-infectives for treatment of acne"
"D10AX"	"Andere Aknemittel zur topischen Anwendung"	"Other anti-acne preparations for topical use"
"D10B"	"AKNEMITTEL ZUR SYSTEMISCHEN ANWENDUNG"	"Anti-acne preparations for systemic use"
"D10BA"	"Retinoide zur Behandlung der Akne"	"Retinoids for treatment of acne"
"D10BH"	"Homöopathische und anthroposophische Aknemittel zur systemischen Anwendung"	NA
"D10BX"	"Andere Aknemittel zur systemischen Anwendung"	"Other anti-acne preparations for systemic use"
"D11"	"ANDERE DERMATIKA"	"Other dermatological drugs"
"D11A"	"ANDERE DERMATIKA"	"Other dermatological preparations"
"D11AA"	"Antihidrotika"	"Antihidrotics"
"D11AB"	"Dermatologische Balneotherapeutika"	NA
"D11AC"	"Medizinische Haarwaschmittel"	"Medicated shampoos"
"D11AE"	"Androgene zur topischen Anwendung"	"Androgens for topical use"
"D11AF"	"Warzenmittel und Keratolytika"	"Wart and anti-corn preparations"
"D11AG"	"Medizinische Seifen"	NA
"D11AH"	"Mittel zur Behandlung der Dermatitis, exkl. Corticosteroide"	"Agents for dermatitis, excluding corticosteroids"
"D11AX"	"Andere Dermatika"	"Other dermatologicals"
"D11B"	"ANDERE HOMÖOPATHISCHE UND ANTHROPOSOPHISCHE DERMATIKA"	NA
"D11BH"	"Andere homöopathische und anthroposophische Dermatika"	NA
"G"	"UROGENITALSYSTEM UND SEXUALHORMONE"	"Genitourinary system and reproductive hormones"
"G01"	"GYNÄKOLOGISCHE ANTIINFEKTIVA UND ANTISEPTIKA"	"Gynecological anti-infectives and antiseptics"
"G01A"	"ANTIINFEKTIVA UND ANTISEPTIKA, EXKL. KOMBINATIONEN MIT CORTICOSTEROIDEN"	"Anti infectives and antiseptics, excluding combinations with corticosteroids"
"G01AA"	"Antibiotika"	"Antibiotics"
"G01AB"	"Arsen-haltige Verbindungen"	"Arsenic compounds"
"G01AC"	"Chinolin-Derivate"	"Quinoline derivatives"
"G01AD"	"Organische Säuren"	"Organic acids"
"G01AE"	"Sulfonamide"	"Sulfonamides"
"G01AF"	"Imidazol-Derivate"	"Imidazole derivatives"
"G01AG"	"Triazol-Derivate"	"Triazole derivatives"
"G01AX"	"Andere Antiinfektiva und Antiseptika"	"Other anti-infectives and antiseptics"
"G01B"	"ANTIINFEKTIVA/ANTISEPTIKA IN KOMBINATION MIT CORTICOSTEROIDEN"	"Antiinfectives/antiseptics in combination with corticosteroids"
"G01BA"	"Antibiotika und Corticosteroide"	"Antibiotics and corticosteroids"
"G01BC"	"Chinolin-Derivate und Corticosteroide"	"Quinoline derivatives and corticosteroids"
"G01BD"	"Antiseptika und Corticosteroide"	"Antiseptics and corticosteroids"
"G01BE"	"Sulfonamide und Corticosteroide"	"Sulfonamides and corticosteroids"
"G01BF"	"Imidazol-Derivate und Corticosteroide"	"Imidazole derivatives and corticosteroids"
"G02"	"ANDERE GYNÄKOLOGIKA"	"Other gynecological drugs"
"G02A"	"WEHEN FÖRDERNDE MITTEL"	"Uterotonics"
"G02AB"	"Mutterkorn-Alkaloide"	"Ergot alkaloids"
"G02AC"	"Mutterkorn-Alkaloide und Oxytocin inkl. Derivate, in Kombination"	"Ergot alkaloids and oxytocin including analogues, in combination"
"G02AD"	"Prostaglandine"	"Prostaglandins"
"G02AX"	"Andere Wehen fördernde Mittel"	"Other uterotonics"
"G02B"	"KONTRAZEPTIVA ZUR LOKALEN ANWENDUNG"	"Contraceptives for topical use"
"G02BA"	"Intrauterine Kontrazeptiva"	"Intrauterine contraceptives"
"G02BB"	"Intravaginale Kontrazeptiva"	"Intravaginal contraceptives"
"G02C"	"ANDERE GYNÄKOLOGIKA"	"Other gynecologicals"
"G02CA"	"Sympathomimetika, Wehen hemmend"	"Sympathomimetics, labour repressants"
"G02CB"	"Prolactinhemmer"	"Prolactin inhibitors"
"G02CC"	"Antiphlogistika zur vaginalen Anwendung"	"Anti-inflammatory products for vaginal administration"
"G02CD"	"Andere Vaginaltherapeutika"	NA
"G02CH"	"Andere homöopathische und anthroposophische Gynäkologika"	NA
"G02CP"	"Andere pflanzliche Gynäkologika"	NA
"G02CX"	"Andere Gynäkologika"	"Other gynecologicals"
"G03"	"SEXUALHORMONE UND MODULATOREN DES GENITALSYSTEMS"	"Sex hormones and modulators of the genital system"
"G03A"	"HORMONELLE KONTRAZEPTIVA ZUR SYSTEMISCHEN ANWENDUNG"	"Hormonal contraceptives for systemic use"
"G03AA"	"Gestagene und Estrogene, fixe Kombinationen"	"Progestogens and estrogens, fixed combinations"
"G03AB"	"Gestagene und Estrogene, Sequenzialpräparate"	"Progestogens and estrogens, sequential preparations"
"G03AC"	"Gestagene"	"Progestogens"
"G03AD"	"Notfallkontrazeptiva"	"Emergency contraceptives"
"G03B"	"ANDROGENE"	"Androgens"
"G03BA"	"3-Oxoandrosten-4-Derivate"	"3-oxoandrosten-(4) derivatives"
"G03BB"	"5-Androstanon-3-Derivate"	"5-androstanon-(3) derivatives"
"G03C"	"ESTROGENE"	"Estrogens"
"G03CA"	"Natürliche und halbsynthetische Estrogene, rein"	"Natural and semisynthetic estrogens, plain"
"G03CB"	"Synthetische Estrogene, rein"	"Synthetic estrogens, plain"
"G03CC"	"Estrogene, Kombinationen mit anderen Mitteln"	"Estrogens, combinations with other drugs"
"G03CD"	"Estrogene, vaginale Zubereitungen"	NA
"G03CX"	"Andere Estrogene"	"Other estrogens"
